tool,db_layout,workload,strategy,N_or_K,rep,prefetch_time_us,n_prefetch,n_syscalls
prefetch_layers,vacuum,ALL,layers_28,28,2,5.09,28,28
prefetch_layers,vacuum,ALL,layers_28,28,3,5.27,28,28
prefetch_layers,vacuum,ALL,layers_29,29,1,5.04,29,29
prefetch_layers,vacuum,ALL,layers_29,29,2,5.71,29,29
prefetch_layers,vacuum,ALL,layers_29,29,3,5.42,29,29
prefetch_layers,vacuum,ALL,layers_30,30,1,6.04,30,30
prefetch_layers,vacuum,ALL,layers_30,30,2,5.17,30,30
prefetch_layers,vacuum,ALL,layers_30,30,3,5.41,30,30
prefetch_layers,vacuum,ALL,layers_31,31,1,6.07,31,31
prefetch_layers,vacuum,ALL,layers_31,31,2,6.18,31,31
prefetch_layers,vacuum,ALL,layers_31,31,3,5.99,31,31
prefetch_layers,vacuum,ALL,layers_32,32,1,5.93,32,32
prefetch_layers,vacuum,ALL,layers_32,32,2,6.25,32,32
prefetch_layers,vacuum,ALL,layers_32,32,3,5.96,32,32
prefetch_layers,vacuum,ALL,layers_33,33,1,5.98,33,33
prefetch_layers,vacuum,ALL,layers_33,33,2,5.9,33,33
prefetch_layers,vacuum,ALL,layers_33,33,3,6.6,33,33
prefetch_layers,vacuum,ALL,layers_34,34,1,6.66,34,34
prefetch_layers,vacuum,ALL,layers_34,34,2,6.18,34,34
prefetch_layers,vacuum,ALL,layers_34,34,3,5.48,34,34
prefetch_layers,vacuum,ALL,layers_35,35,1,6.86,35,35
prefetch_layers,vacuum,ALL,layers_35,35,2,6.7,35,35
prefetch_layers,vacuum,ALL,layers_35,35,3,6.12,35,35
prefetch_layers,vacuum,ALL,layers_36,36,1,7.31,36,36
prefetch_layers,vacuum,ALL,layers_36,36,2,6.48,36,36
prefetch_layers,vacuum,ALL,layers_36,36,3,6.0,36,36
prefetch_layers,vacuum,ALL,layers_37,37,1,6.75,37,37
prefetch_layers,vacuum,ALL,layers_37,37,2,6.9,37,37
prefetch_layers,vacuum,ALL,layers_37,37,3,6.83,37,37
prefetch_layers,vacuum,ALL,layers_38,38,1,6.39,38,38
prefetch_layers,vacuum,ALL,layers_38,38,2,7.16,38,38
prefetch_layers,vacuum,ALL,layers_38,38,3,6.62,38,38
prefetch_layers,vacuum,ALL,layers_39,39,1,7.3,39,39
prefetch_layers,vacuum,ALL,layers_39,39,2,7.02,39,39
prefetch_layers,vacuum,ALL,layers_39,39,3,7.11,39,39
prefetch_layers,vacuum,ALL,layers_40,40,1,7.29,40,40
prefetch_layers,vacuum,ALL,layers_40,40,2,7.39,40,40
prefetch_layers,vacuum,ALL,layers_40,40,3,7.08,40,40
prefetch_layers,vacuum,ALL,layers_41,41,1,7.45,41,41
prefetch_layers,vacuum,ALL,layers_41,41,2,7.17,41,41
prefetch_layers,vacuum,ALL,layers_41,41,3,7.16,41,41
prefetch_layers,vacuum,ALL,layers_42,42,1,7.56,42,42
prefetch_layers,vacuum,ALL,layers_42,42,2,7.88,42,42
prefetch_layers,vacuum,ALL,layers_42,42,3,7.25,42,42
prefetch_layers,vacuum,ALL,layers_43,43,1,7.55,43,43
prefetch_layers,vacuum,ALL,layers_43,43,2,7.4,43,43
prefetch_layers,vacuum,ALL,layers_43,43,3,7.92,43,43
prefetch_layers,vacuum,ALL,layers_44,44,1,7.05,44,44
prefetch_layers,vacuum,ALL,layers_44,44,2,7.87,44,44
prefetch_layers,vacuum,ALL,layers_44,44,3,7.66,44,44
prefetch_layers,vacuum,ALL,layers_45,45,1,8.65,45,45
prefetch_layers,vacuum,ALL,layers_45,45,2,7.63,45,45
prefetch_layers,vacuum,ALL,layers_45,45,3,7.39,45,45
prefetch_layers,vacuum,ALL,layers_46,46,1,8.32,46,46
